latitude,longitude,altitude,geometry,@id,amenity,emergency,healthcare,name,toilets:wheelchair,wheelchair,operator,ele,addr:city,addr:housenumber,addr:postcode,addr:street,fax,operator:type,phone,website,url,wikidata,name:it,opening_hours,operator:wikidata,description,addr:country,name:en,construction,addr:housename,note,source,access,addr:province,ref:anncsu,email,healthcare:speciality,entrance,healthcare_1,addr:place,alt_name,helipad,internet_access,addr:village,contact:phone,image,nohousenumber,addr:unit,operator:wikipedia,official_name
43.8506532,10.5175368,,Point,node/248898429,hospital,yes,hospital,Presidio Ospedaliero Piana di Lucca,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.2179693,12.0331217,,Point,node/295017561,hospital,,hospital,"Ospedali Privati Forlì ""Villa Serena""",,,Ospadati Privati Forlì,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.2171813,12.0582783,,Point,node/295030604,hospital,,hospital,"Ospedali Privati Forlì ""Villa Igea""",,,Ospedali Privati Forlì,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.2074005,12.0191851,,Point,node/303496338,hospital,ambulance_station,hospital,Pronto Soccorso,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.3448296,8.4345954,,Point,node/368280172,hospital,,,RSA del Santuario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.6143726,11.4772102,,Point,node/384732739,hospital,,,,,,,123.6542969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.2674854,16.4296805,,Point,node/387221877,hospital,,,San Nicola Pellegrino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.4622155,14.1990094,,Point,node/414248160,hospital,,hospital,"Casa di Cura Privata ""Pierangeli""",,yes,Gruppo Synergo,,Pescara,1,65124,Piazza Luigi Pierangeli,+39 085 424 1391,private,+39 085 42411,https://www.grupposynergo.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.236186,16.3046502,,Point,node/418759967,hospital,,,Guardia Medica,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.8158783,10.319724,,Point,node/424383977,hospital,,hospital,O.C.E. Ospedale Civile Elbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.513907,15.3318254,,Point,node/429375430,hospital,,,Ospedale Francesco Lastaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.8870757,12.3983943,,Point,node/434692525,hospital,yes,,Aurelia Hospital,,yes,,,,,,,,,,,http://www.aureliahospital.com/,Q30279876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.424833,15.1941453,,Point,node/450198361,hospital,,hospital,Ospedale di Roccadaspide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.7660981,10.3926002,,Point,node/464313412,hospital,,hospital,Guardia Medica - Medical Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.8065839,10.1965584,,Point,node/465614224,hospital,,hospital,Guardia Medica - Medical Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.4997838,12.9414537,,Point,node/477370529,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.7593113,15.7775458,,Point,node/485615985,hospital,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.2476802,13.5079439,,Point,node/519018205,hospital,,hospital,Ospedale,,,,,Corridonia,,62014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
